project_id,project_name,task_id,task_name,task_status,task_created,task_updated
311417,test_coco_keypoints,1618062,t1,annotation,2025-09-09 11:29:24.801962+00:00,2025-09-09 11:43:40.163005+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,Cassava_PlantPart_Point_segmentation_batch8,annotation,2025-08-21 07:47:12.710485+00:00,2025-08-25 23:56:24.286760+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,Cassava_PlantPart_Point_segmentation_batch7,annotation,2025-08-20 12:39:49.666981+00:00,2025-08-30 12:21:39.569042+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1579956,Cassava_PlantPart_Point_segmentation_batch5,annotation,2025-08-20 12:12:15.863101+00:00,2025-08-22 01:10:25.466277+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1579608,Cassava_PlantPart_Point_segmentation_batch6,annotation,2025-08-20 10:00:19.784272+00:00,2025-08-25 02:35:08.706780+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1577825,Cassava_PlantPart_Point_segmentation_batch4,annotation,2025-08-19 14:53:03.319325+00:00,2025-08-22 00:02:33.433396+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1577744,Cassava_PlantPart_Point_segmentation_batch2,annotation,2025-08-19 14:13:22.470960+00:00,2025-08-20 22:56:24.850063+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1577741,Cassava_PlantPart_Point_segmentation_batch3,annotation,2025-08-19 14:12:31.865880+00:00,2025-08-22 05:48:37.560506+00:00
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1577717,Cassava_PlantPart_Point_segmentation_batch1,annotation,2025-08-19 14:04:35.077118+00:00,2025-08-21 14:04:49.976697+00:00
299663,ImageSafari_Wheat_Pseudo_segmentation_2025-07-31,1577437,Wheat_Plant_Part_Point_Annotation_vegetative_stage_Batch4,annotation,2025-08-19 12:21:49.279415+00:00,2025-08-24 23:34:33.891490+00:00
